variable,HR,exp(coef) lower 95%,exp(coef) upper 95%,p_value
C3_slope,1.117514130538811,1.0596326049254903,1.1785573850303792,4.2303193552094956e-05
CRP_slope,1.005534653062875,0.9414880150257166,1.0739381939797272,0.8694384418767558
Granulocyte_slope,1.0363547428639397,0.9961796426121945,1.078150071647966,0.07669117830069842
C3_baseline,1.1019155404514482,1.0347443562925556,1.1734471909940127,0.002492188244824045
CRP_baseline,1.0626630844482454,1.0084188394209808,1.1198252024897304,0.022991485120570674
Granulocyte_baseline,1.0451302179190802,0.9883271749911122,1.1051979547333675,0.12158403878543605
CysC_baseline,1.1889033089572594,1.1275147743248441,1.2536341964085738,1.5854530803933768e-10
SLEDAI_baseline,1.447827280647084,1.375841819727243,1.5235790950165309,6.662647452250877e-46
LAC_NLR_baseline,1.1238323799320107,1.0815448121493394,1.1677733589916686,2.4337299317902967e-09
UA_baseline,0.9667830310715501,0.9140481717293577,1.0225603617799717,0.23783908606542936
eGFR_baseline,0.9114299735532223,0.8683330156873768,0.9566659123673164,0.00017509468737280748
APTT_baseline,1.0914278659872538,1.0366679594097707,1.1490803548435238,0.000864901841133559
