model,bin,n,mean_pred,observed_rate
LASSO_logistic,0,283,0.06862889652963429,0.0
LASSO_logistic,1,283,0.11485092272027193,0.01060070671378092
LASSO_logistic,2,282,0.15378028016533826,0.010638297872340425
LASSO_logistic,3,283,0.19180173583905438,0.0176678445229682
LASSO_logistic,4,282,0.23711133192840417,0.010638297872340425
LASSO_logistic,5,283,0.29214081294870226,0.04946996466431095
LASSO_logistic,6,282,0.36329604245969205,0.0851063829787234
LASSO_logistic,7,283,0.4640483159388044,0.0706713780918728
LASSO_logistic,8,282,0.6312296090833682,0.11347517730496454
LASSO_logistic,9,283,0.8939246907029542,0.2862190812720848
RandomForest,0,283,0.0026584366391364475,0.0
RandomForest,1,283,0.01269053271049001,0.0
RandomForest,2,282,0.025476237794349023,0.0
RandomForest,3,283,0.04084734082933401,0.014134275618374558
RandomForest,4,282,0.0611650941994964,0.010638297872340425
RandomForest,5,283,0.09087659455525213,0.045936395759717315
RandomForest,6,282,0.1302261265500135,0.0425531914893617
RandomForest,7,283,0.18789675326285593,0.10247349823321555
RandomForest,8,282,0.27500996153607676,0.1453900709219858
RandomForest,9,283,0.4377709579014271,0.29328621908127206
GradientBoosting,0,283,0.013414975459561813,0.0
GradientBoosting,1,283,0.022236303921362038,0.0
GradientBoosting,2,282,0.03385589085360363,0.0035460992907801418
GradientBoosting,3,283,0.05100456256966449,0.0035335689045936395
GradientBoosting,4,282,0.07979674974573853,0.014184397163120567
GradientBoosting,5,283,0.13205368277356377,0.04240282685512368
GradientBoosting,6,282,0.2270938380112103,0.05673758865248227
GradientBoosting,7,283,0.37914187785712805,0.0812720848056537
GradientBoosting,8,282,0.5785981593548868,0.1276595744680851
GradientBoosting,9,283,0.8029907167826774,0.3250883392226148
