model,threshold,net_benefit,treat_all_net_benefit,treat_none_net_benefit
LASSO_logistic,0.01,0.0560273649445624,0.05602379063100932,0.0
LASSO_logistic,0.02,0.046413045048167886,0.04639138033132574,0.0
LASSO_logistic,0.03,0.03669169202034131,0.03656036363371054,0.0
LASSO_logistic,0.04,0.026893135173389947,0.02652453408822835,0.0
LASSO_logistic,0.05,0.017208626662196892,0.01627742392073602,0.0
LASSO_logistic,0.060000000000000005,0.007845085904443543,0.005812290132658736,0.0
LASSO_logistic,0.06999999999999999,-0.0012556217610665832,-0.004877900296022336,0.0
LASSO_logistic,0.08,-0.010138773500723092,-0.015800486168805195,0.0
LASSO_logistic,0.09,-0.018178919452804795,-0.026963128873956896,0.0
LASSO_logistic,0.09999999999999999,-0.02547770700636942,-0.038373830305889756,0.0
LASSO_logistic,0.11,-0.033469309859490926,-0.05004095199471997,0.0
LASSO_logistic,0.12,-0.03979283278646335,-0.061973235540114524,0.0
LASSO_logistic,0.13,-0.04698570742937097,-0.07417982445436871,0.0
LASSO_logistic,0.14,-0.05357231027502099,-0.08667028752941952,0.0
LASSO_logistic,0.15000000000000002,-0.06000999125764958,-0.09945464385329508,0.0
LASSO_logistic,0.16,-0.0628180500791966,-0.11254338961345334,0.0
LASSO_logistic,0.17,-0.06755258827241023,-0.12594752683771182,0.0
LASSO_logistic,0.18000000000000002,-0.07170351958296656,-0.13967859423817172,0.0
LASSO_logistic,0.19,-0.07573414414650555,-0.1537487003398775,0.0
LASSO_logistic,0.2,-0.0793524416135881,-0.16817055909412598,0.0
LASSO_logistic,0.21000000000000002,-0.08321463445223828,-0.1829575281965833,0.0
LASSO_logistic,0.22,-0.08729381022374652,-0.1981236503529497,0.0
LASSO_logistic,0.23,-0.08912142351632799,-0.2136836977601309,0.0
LASSO_logistic,0.24000000000000002,-0.0923566878980892,-0.22965322009908,0.0
LASSO_logistic,0.25,-0.0937721160651097,-0.24604859636706772,0.0
LASSO_logistic,0.26,-0.09403033606855264,-0.2628870909125687,0.0
LASSO_logistic,0.27,-0.09659812504241438,-0.2801869140757545,0.0
LASSO_logistic,0.28,-0.09968939215223718,-0.29796728788236226,0.0
LASSO_logistic,0.29000000000000004,-0.10083928909621924,-0.3162485172891561,0.0
LASSO_logistic,0.3,-0.10408452128197351,-0.335052067536144,0.0
LASSO_logistic,0.31,-0.10674174589987385,-0.35440064822507367,0.0
LASSO_logistic,0.32,-0.10892552350027061,-0.3743183048166189,0.0
LASSO_logistic,0.33,-0.10966927570216858,-0.3948305183213445,0.0
LASSO_logistic,0.34,-0.11226918870230976,-0.41596431405348616,0.0
LASSO_logistic,0.35000000000000003,-0.1141869453971365,-0.43774838042353975,0.0
LASSO_logistic,0.36000000000000004,-0.11953733191790522,-0.4602131988676576,0.0
LASSO_logistic,0.37,-0.1215583190105483,-0.48339118615127113,0.0
LASSO_logistic,0.38,-0.12293678515170194,-0.5073168504440335,0.0
LASSO_logistic,0.39,-0.12665761720789392,-0.5320269627463947,0.0
LASSO_logistic,0.4,-0.12738853503184713,-0.5575607454588347,0.0
LASSO_logistic,0.41000000000000003,-0.12837213765638683,-0.5839600801276286,0.0
LASSO_logistic,0.42000000000000004,-0.12773019010664521,-0.6112697366815532,0.0
LASSO_logistic,0.43,-0.12866738679678671,-0.6395376267987731,0.0
LASSO_logistic,0.44,-0.13117986047922356,-0.6688150844201799,0.0
LASSO_logistic,0.45,-0.13449784468892748,-0.6991571768641831,0.0
LASSO_logistic,0.46,-0.1339152315797751,-0.7306230505098164,0.0
LASSO_logistic,0.47000000000000003,-0.13180840977980746,-0.7632763156137752,0.0
LASSO_logistic,0.48000000000000004,-0.13187979748489306,-0.7971854755294248,0.0
LASSO_logistic,0.49,-0.13330696751453588,-0.8324244064221584,0.0
LASSO_logistic,0.5,-0.13623496107572539,-0.8690728945506017,0.0
LASSO_logistic,0.51,-0.13647327296098907,-0.9072172393373485,0.0
LASSO_logistic,0.52,-0.13906581740976648,-0.9469509318235436,0.0
LASSO_logistic,0.53,-0.14237099275722398,-0.9883754197346828,0.0
LASSO_logistic,0.54,-0.14551216960521862,-1.0316009723376105,0.0
LASSO_logistic,0.55,-0.14818746559723212,-1.0767476606117798,0.0
LASSO_logistic,0.56,-0.14759055523386735,-1.1239464710802294,0.0
LASSO_logistic,0.5700000000000001,-0.14777234648364854,-1.1733405750588395,0.0
LASSO_logistic,0.5800000000000001,-0.1501364877161056,-1.2250867792269071,0.0
LASSO_logistic,0.59,-0.15176151761517612,-1.2793571884763433,0.0
LASSO_logistic,0.6,-0.15092002830856333,-1.3363411181882519,0.0
LASSO_logistic,0.61,-0.15168671856569946,-1.3962473007058995,0.0
LASSO_logistic,0.62,-0.15469139941147986,-1.4593064401981601,0.0
LASSO_logistic,0.63,-0.15426254279757462,-1.5257741818251374,0.0
LASSO_logistic,0.64,-0.15609027286309665,-1.5959345757647247,0.0
LASSO_logistic,0.65,-0.16191487210595495,-1.6701041350722883,0.0
LASSO_logistic,0.66,-0.1656050955414013,-1.748636609633238,0.0
LASSO_logistic,0.67,-0.16788908190182084,-1.8319286281069727,0.0
LASSO_logistic,0.68,-0.16595895258315646,-1.9204263977353155,0.0
LASSO_logistic,0.6900000000000001,-0.16820765700979393,-2.014633700888068,0.0
LASSO_logistic,0.7000000000000001,-0.16666666666666669,-2.11512149091767,0.0
LASSO_logistic,0.7100000000000001,-0.17418307831222402,-2.222539473363107,0.0
LASSO_logistic,0.72,-0.1803154382772217,-2.33763016884036,0.0
LASSO_logistic,0.73,-0.18614190977956013,-2.4612461010196323,0.0
LASSO_logistic,0.74,-0.19219881321792148,-2.594370951058849,0.0
LASSO_logistic,0.75,-0.20169851380042464,-2.7381457891012033,0.0
LASSO_logistic,0.76,-0.2021703231894315,-2.8939018636470872,0.0
LASSO_logistic,0.77,-0.20459091048955352,-3.063201944675221,0.0
LASSO_logistic,0.78,-0.213987003795921,-3.2478929421604588,0.0
LASSO_logistic,0.79,-0.21511138071647629,-3.4501735584538142,0.0
LASSO_logistic,0.8,-0.21514508138711966,-3.672682236376505,0.0
LASSO_logistic,0.81,-0.219968711587887,-3.918612880396321,0.0
LASSO_logistic,0.8200000000000001,-0.22257607926397743,-4.191869151529451,0.0
LASSO_logistic,0.8300000000000001,-0.22024478581241427,-4.497273219266478,0.0
LASSO_logistic,0.8400000000000001,-0.23115711252653948,-4.840852795470633,0.0
LASSO_logistic,0.85,-0.23236612408586926,-5.230242981835338,0.0
LASSO_logistic,0.86,-0.23238297442119094,-5.67526033768072,0.0
LASSO_logistic,0.87,-0.24233763405737926,-6.188741902117698,0.0
LASSO_logistic,0.88,-0.2556027364944563,-6.7878037272941745,0.0
LASSO_logistic,0.89,-0.25895901692080037,-7.4957858843209175,0.0
LASSO_logistic,0.9,-0.259377211606511,-8.34536447275301,0.0
LASSO_logistic,0.91,-0.2695997483683259,-9.383738303058902,0.0
LASSO_logistic,0.92,-0.2645081387119606,-10.681705590941267,0.0
LASSO_logistic,0.93,-0.2947123647760592,-12.35052067536145,0.0
LASSO_logistic,0.9400000000000001,-0.30667610285444713,-14.575607454588361,0.0
LASSO_logistic,0.9500000000000001,-0.3297947629157825,-17.69072894550604,0.0
LASSO_logistic,0.9600000000000001,-0.3538570417551316,-22.36341118188256,0.0
LASSO_logistic,0.97,-0.37980655815050685,-30.15121490917667,0.0
LASSO_logistic,0.98,-0.5138004246284497,-45.726822363765,0.0
LASSO_logistic,0.99,-0.6613588110403391,-92.45364472753,0.0
RandomForest,0.01,0.057296246255906555,0.05602379063100932,0.0
RandomForest,0.02,0.05063766483238731,0.04639138033132574,0.0
RandomForest,0.03,0.04540314166684907,0.03656036363371054,0.0
RandomForest,0.04,0.04014803019580089,0.02652453408822835,0.0
RandomForest,0.05,0.035981673930048044,0.01627742392073602,0.0
RandomForest,0.060000000000000005,0.03223110629263224,0.005812290132658736,0.0
RandomForest,0.06999999999999999,0.02900105776621084,-0.004877900296022336,0.0
RandomForest,0.08,0.025877719314440446,-0.015800486168805195,0.0
RandomForest,0.09,0.022685736061532236,-0.026963128873956896,0.0
RandomForest,0.09999999999999999,0.019108280254777073,-0.038373830305889756,0.0
RandomForest,0.11,0.016356942357085492,-0.05004095199471997,0.0
RandomForest,0.12,0.01463681399987133,-0.061973235540114524,0.0
RandomForest,0.13,0.012181630345478353,-0.07417982445436871,0.0
RandomForest,0.14,0.010607482019124738,-0.08667028752941952,0.0
RandomForest,0.15000000000000002,0.009720661088214469,-0.09945464385329508,0.0
RandomForest,0.16,0.008138711960368007,-0.11254338961345334,0.0
RandomForest,0.17,0.0050051586388014935,-0.12594752683771182,0.0
RandomForest,0.18000000000000002,0.004418897692161625,-0.13967859423817172,0.0
RandomForest,0.19,0.0015377491197260049,-0.1537487003398775,0.0
RandomForest,0.2,0.00017692852087757005,-0.16817055909412598,0.0
RandomForest,0.21000000000000002,-0.001007820688543104,-0.1829575281965833,0.0
RandomForest,0.22,-0.0009708385504563835,-0.1981236503529497,0.0
RandomForest,0.23,-0.002136928888521246,-0.2136836977601309,0.0
RandomForest,0.24000000000000002,-0.003147465266137746,-0.22965322009908,0.0
RandomForest,0.25,-0.004010379806558155,-0.24604859636706772,0.0
RandomForest,0.26,-0.00581473192938161,-0.2628870909125687,0.0
RandomForest,0.27,-0.0046728518938622746,-0.2801869140757545,0.0
RandomForest,0.28,-0.005740347566249908,-0.29796728788236226,0.0
RandomForest,0.29000000000000004,-0.004859304446637368,-0.3162485172891561,0.0
RandomForest,0.3,-0.00561116166211708,-0.335052067536144,0.0
RandomForest,0.31,-0.004805276059776209,-0.35440064822507367,0.0
RandomForest,0.32,-0.004287914741268065,-0.3743183048166189,0.0
RandomForest,0.33,-0.005836000464767458,-0.3948305183213445,0.0
RandomForest,0.34,-0.007945699028501584,-0.41596431405348616,0.0
RandomForest,0.35000000000000003,-0.00928194240296152,-0.43774838042353975,0.0
RandomForest,0.36000000000000004,-0.008603149327671627,-0.4602131988676576,0.0
RandomForest,0.37,-0.009318235432885118,-0.48339118615127113,0.0
