model,threshold,net_benefit,treat_all_net_benefit,treat_none_net_benefit
EWS,0.01,0.007755902978832915,0.0048038774153423836,0.0
EWS,0.02,0.0006131114866328689,-0.005351185060011265,0.0
EWS,0.03,-0.0066769540569527434,-0.015715630266815505,0.0
EWS,0.04,-0.00734253361641897,-0.026296001415428167,0.0
EWS,0.05,-0.013129958654598282,-0.037099117219801095,0.0
EWS,0.060000000000000005,-0.01904052039571758,-0.04813208655192665,0.0
EWS,0.06999999999999999,-0.025078190991484593,-0.05940232404173229,0.0
EWS,0.08,-0.020848333794885997,-0.07091756669435982,0.0
EWS,0.09,-0.02550570448659621,-0.08268589160308905,0.0
EWS,0.09999999999999999,-0.030266572304788863,-0.09471573484312337,0.0
EWS,0.11,-0.03513442591664878,-0.10701591163911352,0.0
EWS,0.12,-0.026708164447017946,-0.1195956379077398,0.0
EWS,0.13,-0.030425604607462724,-0.13246455328598972,0.0
EWS,0.14,-0.03422949686466202,-0.14563274576605936,0.0
EWS,0.15000000000000002,-0.02604595978518797,-0.1591107780691895,0.0
EWS,0.16,-0.02900616722272774,-0.1729097159033465,0.0
EWS,0.17,-0.032037704959967266,-0.18704115826362777,0.0
EWS,0.18000000000000002,-0.03514318264201751,-0.20151726994976957,0.0
EWS,0.19,-0.027792194175775206,-0.2163508164923593,0.0
EWS,0.2,-0.03022823779193206,-0.2315552016985138,0.0
EWS,0.21000000000000002,-0.032725953398371366,-0.2471445080491279,0.0
EWS,0.22,-0.03528771299471936,-0.2631335402036039,0.0
EWS,0.23,-0.02654892877822814,-0.27953787189455975,0.0
EWS,0.24000000000000002,-0.028517152754497718,-0.2963738965247514,0.0
EWS,0.25,-0.030537862703467797,-0.313658881811748,0.0
EWS,0.26,-0.021673265622310207,-0.3314110288632582,0.0
EWS,0.27,-0.02314515894482739,-0.34964953610796035,0.0
EWS,0.28,-0.02465793819297004,-0.3683946685539043,0.0
EWS,0.29000000000000004,-0.026213330941060382,-0.3876678328997339,0.0
EWS,0.3,-0.018516833484986353,-0.4074916590840158,0.0
EWS,0.31,-0.019642142835164165,-0.42789008892581315,0.0
EWS,0.32,-0.02080054951917073,-0.44888847258648684,0.0
EWS,0.33,-0.021993535507177496,-0.4705136736698673,0.0
EWS,0.34,-0.015260889146239468,-0.49279418387698654,0.0
EWS,0.35000000000000003,-0.016119549240568354,-0.5157602482443246,0.0
EWS,0.36000000000000004,-0.017005042462845014,-0.5394440021231423,0.0
EWS,0.37,-0.017918646581066965,-0.5638796212044619,0.0
EWS,0.38,-0.012766248887062532,-0.5891034860625983,0.0
EWS,0.39,-0.013431485155407055,-0.6151543628832967,0.0
EWS,0.4,-0.014118895966029728,-0.642073602264685,0.0
EWS,0.41000000000000003,-0.009122314584907698,-0.6699053582352729,0.0
EWS,0.42000000000000004,-0.009590746028259758,-0.6986968299289846,0.0
EWS,0.43,-0.010075613662606621,-0.7284985286996684,0.0
EWS,0.44,-0.010577797998180163,-0.7593645738550197,0.0
EWS,0.45,-0.007430997876857748,-0.7913530206523836,0.0
EWS,0.46,-0.007784854918612881,-0.8245262247385389,0.0
EWS,0.47000000000000003,-0.0081520650562833,-0.8589512478468132,0.0
EWS,0.48000000000000004,-0.008533398660787197,-0.8947003103054058,0.0
EWS,0.49,-0.004968569168644103,-0.9318512967819822,0.0
EWS,0.5,-0.005201698513800425,-0.970488322717622,0.0
EWS,0.51,-0.005444343342432515,-1.0107023701200224,0.0
EWS,0.52,-0.0034943382873319183,-1.0525920028308564,0.0
EWS,0.53,-0.0036590323892126313,-1.0962641731038534,0.0
EWS,0.54,-0.003830887104218592,-1.1418351333887196,0.0
EWS,0.55,-0.0040103798065581515,-1.189431469686247,0.0
EWS,0.56,-0.0023837097085504734,-1.2391912758154797,0.0
EWS,0.5700000000000001,-0.002495926529403052,-1.291265491532119,0.0
EWS,0.5800000000000001,-0.002613487008391468,-1.3458194318066932,0.0
EWS,0.59,-0.002736782144891512,-1.4030345398995387,0.0
EWS,0.6,-0.0012208067940552016,-1.4631104033970272,0.0
EWS,0.61,-0.001282051282051282,-1.5262670804072076,0.0
EWS,0.62,-0.0013465191641524193,-1.5927477930495026,0.0
EWS,0.63,-0.0007976128995237275,-1.662822057726516,0.0
EWS,0.64,-0.0008374616654871432,-1.7367893371078085,0.0
EWS,0.65,-0.0008795875037913255,-1.8149833181680317,0.0
EWS,0.66,-0.0009241913325839892,-1.8977769451729738,0.0
EWS,0.67,-0.00032490510197516573,-1.985588367753973,0.0
EWS,0.68,-0.0003450106157112528,-2.0788880042462847,0.0
EWS,0.6900000000000001,-0.00036641325936579707,-2.1782069721251975,0.0
EWS,0.7000000000000001,-0.0003892427459306442,-2.2841472045293707,0.0
EWS,0.7100000000000001,-0.000153744783659126,-2.39739365985797,0.0
EWS,0.72,-0.00016681831968456173,-2.518729147710039,0.0
EWS,0.73,-0.00018086026578595574,-2.6490524494770775,0.0
EWS,0.74,-0.0001959823615874571,-2.7894006206108113,0.0
EWS,0.75,0.00010615711252653928,-2.940976645435244,0.0
EWS,0.76,0.00010615711252653928,-3.105184005661713,0.0
EWS,0.77,0.00010615711252653928,-3.283670266777439,0.0
EWS,0.78,0.00010615711252653928,-3.4783825516309594,0.0
EWS,0.79,0.00010615711252653928,-3.6916388636133863,0.0
EWS,0.8,0.00010615711252653928,-3.926220806794056,0.0
EWS,0.81,0.00010615711252653928,-4.185495586099007,0.0
EWS,0.8200000000000001,0.0,-4.473578674215618,0.0
EWS,0.8300000000000001,0.0,-4.79555389034595,0.0
EWS,0.8400000000000001,0.0,-5.157776008492573,0.0
EWS,0.85,0.0,-5.56829440905874,0.0
EWS,0.86,0.0,-6.037458295420079,0.0
EWS,0.87,0.0,-6.578801241221623,0.0
EWS,0.88,0.0,-7.210368011323426,0.0
EWS,0.89,0.0,-7.956765103261919,0.0
EWS,0.9,0.0,-8.85244161358811,0.0
EWS,0.91,0.0,-9.947157348431237,0.0
EWS,0.92,0.0,-11.315552016985144,0.0
EWS,0.93,0.0,-13.074916590840166,0.0
EWS,0.9400000000000001,0.0,-15.420736022646864,0.0
EWS,0.9500000000000001,0.0,-18.704883227176246,0.0
EWS,0.9600000000000001,0.0,-23.63110403397032,0.0
EWS,0.97,0.0,-31.841472045293674,0.0
EWS,0.98,0.0,-48.26220806794051,0.0
EWS,0.99,0.0,-97.52441613588101,0.0
