model,bin,n,mean_pred,observed_rate
Bi-LSTM,0,189,0.04379448667168617,0.005291005291005291
Bi-LSTM,1,188,0.07684190571308136,0.0
Bi-LSTM,2,188,0.09968151897192001,0.005319148936170213
Bi-LSTM,3,189,0.11976369470357895,0.010582010582010581
Bi-LSTM,4,188,0.14482906460762024,0.015957446808510637
Bi-LSTM,5,188,0.18687079846858978,0.015957446808510637
Bi-LSTM,6,189,0.26414573192596436,0.037037037037037035
Bi-LSTM,7,188,0.3988935053348541,0.06382978723404255
Bi-LSTM,8,188,0.6234877705574036,0.10638297872340426
Bi-LSTM,9,189,0.8826712369918823,0.3915343915343915
Transformer,0,189,0.03585632145404816,0.0
Transformer,1,188,0.04034432768821716,0.005319148936170213
Transformer,2,188,0.04513021558523178,0.010638297872340425
Transformer,3,189,0.05335875600576401,0.015873015873015872
Transformer,4,188,0.07215311378240585,0.005319148936170213
Transformer,5,188,0.12123402208089828,0.010638297872340425
Transformer,6,189,0.2286846786737442,0.015873015873015872
Transformer,7,188,0.43229061365127563,0.06382978723404255
Transformer,8,188,0.698485255241394,0.12234042553191489
Transformer,9,189,0.9121060371398926,0.4021164021164021
Ensemble,0,189,0.04605776071548462,0.005291005291005291
Ensemble,1,188,0.06476018577814102,0.005319148936170213
Ensemble,2,188,0.07670755684375763,0.005319148936170213
Ensemble,3,189,0.09015434235334396,0.0
Ensemble,4,188,0.1102035790681839,0.02127659574468085
Ensemble,5,188,0.15681834518909454,0.010638297872340425
Ensemble,6,189,0.2473650574684143,0.037037037037037035
Ensemble,7,188,0.413251668214798,0.05319148936170213
Ensemble,8,188,0.6473710536956787,0.11702127659574468
Ensemble,9,189,0.8876166939735413,0.3968253968253968
