model,threshold,net_benefit,treat_all_net_benefit,treat_none_net_benefit
Bi-LSTM,0.01,0.05584507495335521,0.05584507495335521,0.0
Bi-LSTM,0.02,0.04627583517483426,0.04621084102430781,0.0
Bi-LSTM,0.03,0.036854028498259896,0.03637796309672336,0.0
Bi-LSTM,0.04,0.02793259023354564,0.026340233545647553,0.0
Bi-LSTM,0.05,0.019024472008045586,0.01609118337244385,0.0
Bi-LSTM,0.060000000000000005,0.01085287075936215,0.005624068301937929,0.0
Bi-LSTM,0.06999999999999999,0.00378969476976463,-0.005068146017396052,0.0
Bi-LSTM,0.08,-0.0026770054463214205,-0.01599279977845472,0.0
Bi-LSTM,0.09,-0.007530155619327586,-0.027157555819976198,0.0
Bi-LSTM,0.09999999999999999,-0.012384996461429584,-0.03857041755130926,0.0
Bi-LSTM,0.11,-0.014170185357475135,-0.050239748085593644,0.0
Bi-LSTM,0.12,-0.0154169079328315,-0.06217429067747539,0.0
Bi-LSTM,0.13,-0.01821143568343217,-0.07438319057031993,0.0
Bi-LSTM,0.14,-0.01866390164420087,-0.08687601836764923,0.0
Bi-LSTM,0.15000000000000002,-0.01926439365555141,-0.0996627950543275,0.0
Bi-LSTM,0.16,-0.022343544636538273,-0.11275401880497422,0.0
Bi-LSTM,0.17,-0.02408359552861128,-0.1261606937303354,0.0
Bi-LSTM,0.18000000000000002,-0.02599554657966964,-0.13989436072704675,0.0
Bi-LSTM,0.19,-0.02950774553746953,-0.15396713061256584,0.0
Bi-LSTM,0.2,-0.0322452229299363,-0.16839171974522293,0.0
Bi-LSTM,0.21000000000000002,-0.03342605283667931,-0.18318148834959286,0.0
Bi-LSTM,0.22,-0.03553541292394795,-0.19835048178997222,0.0
Bi-LSTM,0.23,-0.0374238288251027,-0.21391347505997188,0.0
Bi-LSTM,0.24000000000000002,-0.04165269862554476,-0.2298860207844452,0.0
Bi-LSTM,0.25,-0.04387827317763622,-0.24628450106157113,0.0
Bi-LSTM,0.26,-0.04583405061112067,-0.26312618350834915,0.0
Bi-LSTM,0.27,-0.047370793706192016,-0.2804292819125731,0.0
Bi-LSTM,0.28,-0.04856687898089174,-0.2982130219391366,0.0
Bi-LSTM,0.29000000000000004,-0.05030501480218895,-0.31649771238898367,0.0
Bi-LSTM,0.3,-0.05307855626326964,-0.3353048225659691,0.0
Bi-LSTM,0.31,-0.054809378750115406,-0.35465706637127303,0.0
Bi-LSTM,0.32,-0.059135756213313365,-0.37457849381790936,0.0
Bi-LSTM,0.33,-0.06138099312355423,-0.39509459074056474,0.0
Bi-LSTM,0.34,-0.06104033970276011,-0.4162323875699673,0.0
Bi-LSTM,0.35000000000000003,-0.0637759268332517,-0.43802057814796674,0.0
Bi-LSTM,0.36000000000000004,-0.06495488322717624,-0.4604896496815288,0.0
Bi-LSTM,0.37,-0.06842921174131367,-0.48367202507329893,0.0
Bi-LSTM,0.38,-0.07199849325388673,-0.507602219026094,0.0
Bi-LSTM,0.39,-0.07466673627788802,-0.5323170095019317,0.0
Bi-LSTM,0.4,-0.07873319179051665,-0.557855626326964,0.0
Bi-LSTM,0.41000000000000003,-0.08367519522113066,-0.5842599589765735,0.0
Bi-LSTM,0.42000000000000004,-0.08472435756643971,-0.61157478585548,0.0
Bi-LSTM,0.43,-0.08398517525235592,-0.6398480277125934,0.0
Bi-LSTM,0.44,-0.08553230209281164,-0.6691310282074613,0.0
Bi-LSTM,0.45,-0.0876761243003281,-0.6994788650839605,0.0
Bi-LSTM,0.46,-0.08612487221829047,-0.7309506959188488,0.0
Bi-LSTM,0.47000000000000003,-0.0889616632616272,-0.7636101430116572,0.0
Bi-LSTM,0.48000000000000004,-0.09121345745549568,-0.7975257226849584,0.0
Bi-LSTM,0.49,-0.09391782190583238,-0.8327713250905456,0.0
Bi-LSTM,0.5,-0.09501061571125265,-0.8694267515923566,0.0
Bi-LSTM,0.51,-0.09761038173231075,-0.9075783179513843,0.0
Bi-LSTM,0.52,-0.09961075725406936,-0.947319532908705,0.0
Bi-LSTM,0.53,-0.1027352396440349,-0.9887518633961243,0.0
Bi-LSTM,0.54,-0.10578787039601219,-1.0319855995569094,0.0
Bi-LSTM,0.55,-0.10804435008256667,-1.0771408351026188,0.0
Bi-LSTM,0.56,-0.11098243582320018,-1.124348581354951,0.0
Bi-LSTM,0.5700000000000001,-0.11177356441021087,-1.1737520367352987,0.0
Bi-LSTM,0.5800000000000001,-0.11454857951673245,-1.2255080376099488,0.0
Bi-LSTM,0.59,-0.11804153073377865,-1.279788721454093,0.0
Bi-LSTM,0.6,-0.1183651804670913,-1.3367834394904456,0.0
Bi-LSTM,0.61,-0.12122325657357505,-1.3967009635799443,0.0
Bi-LSTM,0.62,-0.12115878869147392,-1.4597720415688902,0.0
Bi-LSTM,0.63,-0.12388821942962072,-1.526252367016698,0.0
Bi-LSTM,0.64,-0.12379098844066999,-1.5964260438782731,0.0
Bi-LSTM,0.65,-0.12837427964816503,-1.6706096451319383,0.0
Bi-LSTM,0.66,-0.13263394529786438,-1.7491569876358188,0.0
Bi-LSTM,0.67,-0.13646014282956961,-1.8324647751399346,0.0
Bi-LSTM,0.68,-0.14092356687898092,-1.9209792993630577,0.0
Bi-LSTM,0.6900000000000001,-0.1455037326210534,-2.015204438052189,0.0
Bi-LSTM,0.7000000000000001,-0.14844302901627748,-2.1157112526539286,0.0
Bi-LSTM,0.7100000000000001,-0.14620396807965452,-2.223149571710961,0.0
Bi-LSTM,0.72,-0.14945404913557778,-2.3382620564149224,0.0
Bi-LSTM,0.73,-0.15323975780451363,-2.461901391837697,0.0
Bi-LSTM,0.74,-0.15899069083782458,-2.5950514453699163,0.0
Bi-LSTM,0.75,-0.15870488322717624,-2.738853503184713,0.0
Bi-LSTM,0.76,-0.15401627742392077,-2.89463906581741,0.0
Bi-LSTM,0.77,-0.15849718452875475,-3.063971199113819,0.0
Bi-LSTM,0.78,-0.16097278517660688,-3.248697162709902,0.0
Bi-LSTM,0.79,-0.1541300171873421,-3.4510160752198975,0.0
Bi-LSTM,0.8,-0.15233545647558389,-3.6735668789808926,0.0
Bi-LSTM,0.81,-0.14758632249413348,-3.919544083137782,0.0
Bi-LSTM,0.8200000000000001,-0.15758433592828502,-4.192852087756548,0.0
Bi-LSTM,0.8300000000000001,-0.16251405020606977,-4.498313975271639,0.0
Bi-LSTM,0.8400000000000001,-0.15870488322717635,-4.841958598726118,0.0
Bi-LSTM,0.85,-0.16985138004246284,-5.231422505307855,0.0
Bi-LSTM,0.86,-0.16204124962086744,-5.676524112829845,0.0
Bi-LSTM,0.87,-0.16474767270945614,-6.1901028907398326,0.0
