model,precision,recall,threshold,average_precision
Bi-LSTM,0.06528662420382166,1.0,0.015179986134171486,0.42869403401119865
Bi-LSTM,0.06532129580456718,1.0,0.016738878563046455,0.42869403401119865
Bi-LSTM,0.06535600425079703,1.0,0.01771346852183342,0.42869403401119865
Bi-LSTM,0.06539074960127592,1.0,0.018055744469165802,0.42869403401119865
Bi-LSTM,0.06542553191489361,1.0,0.018293147906661034,0.42869403401119865
Bi-LSTM,0.06546035125066525,1.0,0.019486689940094948,0.42869403401119865
Bi-LSTM,0.06549520766773163,1.0,0.020178118720650673,0.42869403401119865
Bi-LSTM,0.06553010122535961,1.0,0.020538538694381714,0.42869403401119865
Bi-LSTM,0.06556503198294243,1.0,0.02061188593506813,0.42869403401119865
Bi-LSTM,0.0656,1.0,0.020716164261102676,0.42869403401119865
Bi-LSTM,0.06563500533617929,1.0,0.02114207111299038,0.42869403401119865
Bi-LSTM,0.06567004805125468,1.0,0.022085465490818024,0.42869403401119865
Bi-LSTM,0.06570512820512821,1.0,0.022156525403261185,0.42869403401119865
Bi-LSTM,0.06574024585783003,1.0,0.02238297648727894,0.42869403401119865
Bi-LSTM,0.06577540106951872,1.0,0.022978954017162323,0.42869403401119865
Bi-LSTM,0.06581059390048154,1.0,0.023477837443351746,0.42869403401119865
Bi-LSTM,0.0658458244111349,1.0,0.023567045107483864,0.42869403401119865
Bi-LSTM,0.06588109266202463,1.0,0.023680469021201134,0.42869403401119865
Bi-LSTM,0.06591639871382636,1.0,0.02406284399330616,0.42869403401119865
Bi-LSTM,0.06595174262734585,1.0,0.024634428322315216,0.42869403401119865
Bi-LSTM,0.06598712446351931,1.0,0.025006290525197983,0.42869403401119865
Bi-LSTM,0.06602254428341385,1.0,0.026733478531241417,0.42869403401119865
Bi-LSTM,0.06605800214822771,1.0,0.026910411193966866,0.42869403401119865
Bi-LSTM,0.0660934981192907,1.0,0.02784598618745804,0.42869403401119865
Bi-LSTM,0.06612903225806452,1.0,0.02836998924612999,0.42869403401119865
Bi-LSTM,0.06616460462614308,1.0,0.028857000172138214,0.42869403401119865
Bi-LSTM,0.06620021528525297,1.0,0.02897229976952076,0.42869403401119865
Bi-LSTM,0.06623586429725363,1.0,0.029437826946377754,0.42869403401119865
