model,fpr,tpr,threshold,auc
Bi-LSTM,0.0,0.0,inf,0.8853986325212486
Bi-LSTM,0.0,0.008130081300813009,0.9968709349632263,0.8853986325212486
Bi-LSTM,0.0005678591709256105,0.008130081300813009,0.9941484928131104,0.8853986325212486
Bi-LSTM,0.0005678591709256105,0.024390243902439025,0.9918102622032166,0.8853986325212486
Bi-LSTM,0.002271436683702442,0.024390243902439025,0.9897061586380005,0.8853986325212486
Bi-LSTM,0.002271436683702442,0.04878048780487805,0.9872179627418518,0.8853986325212486
Bi-LSTM,0.0028392958546280523,0.04878048780487805,0.9842473268508911,0.8853986325212486
Bi-LSTM,0.0028392958546280523,0.07317073170731707,0.9838595390319824,0.8853986325212486
Bi-LSTM,0.0034071550255536627,0.07317073170731707,0.9817816019058228,0.8853986325212486
Bi-LSTM,0.0034071550255536627,0.08130081300813008,0.9817501306533813,0.8853986325212486
Bi-LSTM,0.003975014196479273,0.08130081300813008,0.9807697534561157,0.8853986325212486
Bi-LSTM,0.003975014196479273,0.15447154471544716,0.9678454399108887,0.8853986325212486
Bi-LSTM,0.006246450880181715,0.15447154471544716,0.9652485251426697,0.8853986325212486
Bi-LSTM,0.006246450880181715,0.18699186991869918,0.9614757895469666,0.8853986325212486
Bi-LSTM,0.0073821692220329355,0.18699186991869918,0.9587439894676208,0.8853986325212486
Bi-LSTM,0.0073821692220329355,0.1951219512195122,0.9569302797317505,0.8853986325212486
Bi-LSTM,0.008517887563884156,0.1951219512195122,0.9566540122032166,0.8853986325212486
Bi-LSTM,0.008517887563884156,0.22764227642276422,0.9523932337760925,0.8853986325212486
Bi-LSTM,0.009085746734809767,0.22764227642276422,0.9505834579467773,0.8853986325212486
Bi-LSTM,0.009085746734809767,0.24390243902439024,0.9464362263679504,0.8853986325212486
Bi-LSTM,0.010221465076660987,0.24390243902439024,0.9449199438095093,0.8853986325212486
Bi-LSTM,0.010221465076660987,0.2682926829268293,0.9393396973609924,0.8853986325212486
Bi-LSTM,0.01192504258943782,0.2682926829268293,0.9366346001625061,0.8853986325212486
Bi-LSTM,0.01192504258943782,0.2764227642276423,0.9360132813453674,0.8853986325212486
Bi-LSTM,0.01249290176036343,0.2764227642276423,0.9346649646759033,0.8853986325212486
Bi-LSTM,0.01249290176036343,0.2845528455284553,0.9337506890296936,0.8853986325212486
Bi-LSTM,0.013628620102214651,0.2845528455284553,0.933509111404419,0.8853986325212486
Bi-LSTM,0.013628620102214651,0.2926829268292683,0.9333144426345825,0.8853986325212486
Bi-LSTM,0.017603634298693924,0.2926829268292683,0.9265493154525757,0.8853986325212486
Bi-LSTM,0.017603634298693924,0.3008130081300813,0.9254992008209229,0.8853986325212486
Bi-LSTM,0.018171493469619535,0.3008130081300813,0.9253763556480408,0.8853986325212486
Bi-LSTM,0.018171493469619535,0.3089430894308943,0.9249467849731445,0.8853986325212486
Bi-LSTM,0.018739352640545145,0.3089430894308943,0.9237156510353088,0.8853986325212486
Bi-LSTM,0.018739352640545145,0.3252032520325203,0.9218679070472717,0.8853986325212486
Bi-LSTM,0.021010789324247586,0.3252032520325203,0.9193687438964844,0.8853986325212486
Bi-LSTM,0.021010789324247586,0.34146341463414637,0.9180616140365601,0.8853986325212486
Bi-LSTM,0.022714366837024418,0.34146341463414637,0.9104465842247009,0.8853986325212486
Bi-LSTM,0.022714366837024418,0.34959349593495936,0.9091541171073914,0.8853986325212486
Bi-LSTM,0.02328222600795003,0.34959349593495936,0.9063671827316284,0.8853986325212486
Bi-LSTM,0.02328222600795003,0.35772357723577236,0.9032899141311646,0.8853986325212486
Bi-LSTM,0.02385008517887564,0.35772357723577236,0.902812123298645,0.8853986325212486
Bi-LSTM,0.02385008517887564,0.36585365853658536,0.9016889333724976,0.8853986325212486
Bi-LSTM,0.02498580352072686,0.36585365853658536,0.9006056189537048,0.8853986325212486
Bi-LSTM,0.02498580352072686,0.37398373983739835,0.8968705534934998,0.8853986325212486
Bi-LSTM,0.027257240204429302,0.37398373983739835,0.8828991055488586,0.8853986325212486
Bi-LSTM,0.027257240204429302,0.3902439024390244,0.8812134265899658,0.8853986325212486
Bi-LSTM,0.030096536059057353,0.3902439024390244,0.8764811158180237,0.8853986325212486
Bi-LSTM,0.030096536059057353,0.3983739837398374,0.8741015791893005,0.8853986325212486
Bi-LSTM,0.030664395229982964,0.3983739837398374,0.8735877275466919,0.8853986325212486
Bi-LSTM,0.030664395229982964,0.4146341463414634,0.8704807758331299,0.8853986325212486
Bi-LSTM,0.032935831913685404,0.4146341463414634,0.861307680606842,0.8853986325212486
Bi-LSTM,0.032935831913685404,0.43089430894308944,0.8589315414428711,0.8853986325212486
Bi-LSTM,0.03577512776831346,0.43089430894308944,0.8526703119277954,0.8853986325212486
Bi-LSTM,0.03577512776831346,0.43902439024390244,0.8524473905563354,0.8853986325212486
Bi-LSTM,0.03747870528109029,0.43902439024390244,0.8501421809196472,0.8853986325212486
Bi-LSTM,0.03747870528109029,0.45528455284552843,0.8453531861305237,0.8853986325212486
Bi-LSTM,0.03861442362294151,0.45528455284552843,0.8435138463973999,0.8853986325212486
Bi-LSTM,0.03861442362294151,0.4715447154471545,0.8420329093933105,0.8853986325212486
Bi-LSTM,0.039182282793867124,0.4715447154471545,0.8395147919654846,0.8853986325212486
Bi-LSTM,0.039182282793867124,0.4796747967479675,0.8363345861434937,0.8853986325212486
Bi-LSTM,0.04258943781942078,0.4796747967479675,0.8320859670639038,0.8853986325212486
Bi-LSTM,0.04258943781942078,0.4959349593495935,0.8280839323997498,0.8853986325212486
Bi-LSTM,0.044860874503123226,0.4959349593495935,0.8263716697692871,0.8853986325212486
Bi-LSTM,0.044860874503123226,0.5121951219512195,0.8226032257080078,0.8853986325212486
