feature,feature_clean,n_npsle,n_non_npsle,mean_npsle,sd_npsle,mean_non_npsle,sd_non_npsle,standardized_effect,p_value,fdr_p,significant_fdr_0.05
sledai_总分,sledai_总分,617,8763,6.447828083435331,4.16859457111401,3.1062814941477246,2.7960329817687506,0.9414678624533546,1.165666963973459e-128,5.362068034277911e-127,True
胱抑素_Cys_C__静脉血_定量,胱抑素_Cys_C_,591,6474,1.5987736469142935,0.9825927564311637,1.2470473681204994,0.7815642311484428,0.39618322524039346,1.3818727625005334e-43,3.178307353751227e-42,True
C_反应蛋白_CRP__静脉血_定量,C_反应蛋白_CRP_,604,6845,16.661426654671747,21.94760921234163,9.991154480867657,16.957003014810102,0.34011699143792473,3.7295453772546926e-38,5.718636245123862e-37,True
γ_谷氨酰基转移酶_GGT__静脉血_定量,γ_谷氨酰基转移酶_GGT_,614,8122,54.78271182241982,51.85503850958247,40.258797753403165,46.8659449192409,0.293866649845377,4.306355144753019e-32,4.9523084164659715e-31,True
激素,激素,617,8803,0.4828425665242406,0.28079325041083236,0.34890282620086754,0.33573877238238303,0.43277876766975343,5.692718963236638e-30,5.237301446177708e-29,True
抗核抗体_ANA__静脉血_定性,抗核抗体_ANA__静脉血_定性,590,7038,0.6763095156515329,0.3794518349291248,0.8111746299453876,0.3410789497452242,-0.37381960006305326,1.2566829296043771e-28,9.634569126966891e-28,True
粒细胞计数_静脉血_定量,粒细胞计数,615,8563,5.508041020940609,2.4351974304091626,4.550159034528608,2.1610129331916665,0.41607413939997956,9.175158876681794e-27,6.029390118962322e-26,True
总蛋白_TP__静脉血_定量,总蛋白_TP_,614,8040,64.68622159281895,6.841692436222361,67.5744799921755,7.3982403984960765,-0.4053467117321022,1.0725105679433729e-26,6.166935765674394e-26,True
肌酐_Crea__静脉血_定量,肌酐_Crea_,614,8025,82.58377897742629,62.599007776829104,67.5784623546571,49.129106158998255,0.26667312761299994,1.744723048621333e-23,8.917473359620146e-23,True
葡萄糖_Glu__尿液_定性,葡萄糖_Glu__尿液_定性,603,7873,0.0881466373535166,0.29143500601674943,0.0393837286782021,0.21960270732298587,0.1889810151975869,1.0702358236559204e-21,4.923084788817234e-21,True
