column,dtype,n_unique,n_missing,missing_pct,data_type
patient_SN,object,9420,0,0.0,qualitative
就诊标识（医渡云计算）,object,79655,0,0.0,qualitative
检验报告日期,object,8032,1,0.0,qualitative
_patient_SN,object,9420,0,0.0,qualitative
_visit_date,datetime64[ns],4555,18528,23.26,other
25_羟基维生素D3[25_OH_D3]_静脉血_定性,object,2,79585,99.91,qualitative
25_羟基维生素D3[25_OH_D3]_静脉血_定量,float64,1761,76951,96.61,quantitative
BMI,float64,255,74927,94.06,quantitative
CD14+HLA_DR+活化单核细胞百分比_静脉血_定量,float64,11,79644,99.99,quantitative
CD14+单核细胞百分比_静脉血_定性,object,2,79651,99.99,qualitative
CD14+单核细胞百分比_静脉血_定量,float64,11,79644,99.99,quantitative
CD19+B淋巴细胞百分比_静脉血_定性,object,1,79623,99.96,qualitative
CD19+B淋巴细胞百分比_静脉血_定量,float64,60,78543,98.6,quantitative
CD19+B淋巴细胞计数_静脉血_定性,object,1,79640,99.98,qualitative
CD19+B淋巴细胞计数_静脉血_定量,float64,430,78524,98.58,quantitative
CD3+CD4+辅助_诱导T淋巴细胞百分比_Th_Ti%__静脉血_定量,float64,50,79598,99.93,quantitative
CD3+CD8+CD28+细胞毒T淋巴细胞百分比_静脉血_定量,float64,11,79644,99.99,quantitative
CD3+CD8+抑制_细胞毒T淋巴细胞百分比_Ts_Tc%__静脉血_定量,float64,11,79644,99.99,quantitative
CD3+T淋巴细胞百分比_静脉血_定量,float64,9,79642,99.98,quantitative
CD3_CD16+CD56+自然杀伤细胞百分比_NK%__静脉血_定性,object,1,79643,99.98,qualitative
CD3_CD16+CD56+自然杀伤细胞百分比_NK%__静脉血_定量,float64,48,78522,98.58,quantitative
CD3_CD16+CD56+自然杀伤细胞计数_NK#__静脉血_定性,object,1,79653,100.0,qualitative
CD3_CD16+CD56+自然杀伤细胞计数_NK#__静脉血_定量,float64,277,78508,98.56,quantitative
C_反应蛋白_CRP__静脉血_定性,object,9,77397,97.17,qualitative
C_反应蛋白_CRP__静脉血_定量,float64,2219,44273,55.58,quantitative
EB病毒DNA_EBV_DNA__静脉血_定性,object,3,79095,99.3,qualitative
EB病毒DNA_EBV_DNA__静脉血_定量,float64,177,79467,99.76,quantitative
EB病毒抗体IgM_EBV_IgM__静脉血_定性,object,1,79581,99.91,qualitative
EB病毒早期抗体IgG_EBV_EA_IgG__静脉血_定性,object,2,79335,99.6,qualitative
EB病毒核心抗体IgG_EBV_NA_IgG__静脉血_定性,object,2,79320,99.58,qualitative
EB病毒衣壳抗体IgM_EBV_VCA_IgM__静脉血_定性,object,2,79067,99.26,qualitative
HCQ,int64,2,0,0.0,quantitative
RhD血型_静脉血_定性,object,2,78831,98.97,qualitative
acr_ANA阳性,float64,2,53768,67.5,quantitative
acr_低补体,float64,2,20482,25.71,quantitative
acr_光过敏,float64,2,64679,81.2,quantitative
acr_关节炎,float64,2,64679,81.2,quantitative
acr_发热,float64,2,64679,81.2,quantitative
acr_口腔溃疡,float64,2,64679,81.2,quantitative
acr_急性皮肤狼疮,float64,2,64679,81.2,quantitative
acr_慢性皮肤狼疮,float64,2,64679,81.2,quantitative
acr_抗Sm阳性,float64,2,62753,78.78,quantitative
acr_抗dsDNA阳性,float64,2,47759,59.96,quantitative
acr_抗磷脂抗体阳性,float64,2,72736,91.31,quantitative
acr_浆膜炎_心包,float64,2,61894,77.7,quantitative
acr_浆膜炎_胸膜,float64,2,62701,78.72,quantitative
acr_淋巴细胞减少,float64,2,7337,9.21,quantitative
acr_溶血性贫血,float64,2,77395,97.16,quantitative
acr_白细胞减少,float64,2,7299,9.16,quantitative
acr_盘状红斑,float64,2,64679,81.2,quantitative
acr_直接Coombs阳性,float64,2,79612,99.95,quantitative
acr_神经_癫痫,float64,2,64679,81.2,quantitative
