threshold,net_benefit_model,net_benefit_all,net_benefit_none,dataset
0.01,0.038731687738310254,0.038731687738310254,0,Validation
0.02,0.03539667522638194,0.028922827409109342,0,Validation
0.03,0.03134430258756059,0.0189117225370383,0,Validation
0.04,0.02778697571743929,0.008692052980132453,0,Validation
0.05,0.024573021958870685,-0.0017427675148135313,0,Validation
0.060000000000000005,0.021332957587713117,-0.012399605467098784,0,Validation
0.06999999999999999,0.017838068788720365,-0.023285622730185855,0,Validation
0.08,0.015519723581917652,-0.034408292542470485,0,Validation
0.09,0.012517284040462852,-0.045775416636343776,0,Validation
0.09999999999999999,0.009418690213392207,-0.057395143487858714,0,Validation
0.11,0.006265347124041969,-0.06927598779671107,0,Validation
0.12,0.0045153521974714075,-0.08142685129440097,0,Validation
0.13,0.0018649615589556162,-0.09385704498744005,0,Validation
0.14,-0.0009394732789157548,-0.10657631295241032,0,Validation
0.15000000000000002,-0.004090377873003516,-0.11959485781067397,0,Validation
0.16,-0.00605487228003785,-0.13292336802270577,0,Validation
0.17,-0.007795420090959862,-0.14657304715550948,0,Validation
0.18000000000000002,-0.010030689710870622,-0.16055564529155228,0,Validation
0.19,-0.01274630038426948,-0.17488349276428747,0,Validation
0.2,-0.015397350993377475,-0.18956953642384106,0,Validation
0.21000000000000002,-0.01741135049040156,-0.20462737865705424,0,Validation
0.22,-0.018729835286126678,-0.22007131940906774,0,Validation
0.23,-0.022817579771222153,-0.2359164014793154,0,Validation
0.24000000000000002,-0.02418961310561172,-0.25217845939351696,0,Validation
0.25,-0.026269315673289183,-0.26887417218543047,0,Validation
0.26,-0.02869160551279757,-0.2860211204582066,0,Validation
0.27,-0.029111857026217915,-0.3036378481357163,0,Validation
0.28,-0.031236203090507737,-0.3217439293598235,0,Validation
0.29000000000000004,-0.033084600317134616,-0.34036004104094775,0,Validation
0.3,-0.03197729422894986,-0.359508041627247,0,Validation
0.31,-0.034811402245896926,-0.3792110567232941,0,Validation
0.32,-0.03817686014803274,-0.3994935722633425,0,Validation
0.33,-0.040515963230206606,-0.420381536028467,0,Validation
0.34,-0.039052779450130456,-0.4419024683925348,0,Validation
0.35000000000000003,-0.03998981151299033,-0.46408558329088145,0,Validation
0.36000000000000004,-0.0400248344370861,-0.4869619205298015,0,Validation
0.37,-0.0412488174077578,-0.5105644906969411,0,Validation
0.38,-0.04161503952146977,-0.5349284340952789,0,Validation
0.39,-0.041960699164042985,-0.5600911953099555,0,Validation
0.4,-0.04105960264900664,-0.5860927152317882,0,Validation
0.41000000000000003,-0.03965652710741947,-0.6129756426085982,0,Validation
