column,dtype,n_unique,n_missing,missing_pct
patient_SN,object,9420,0,0.0
就诊标识（医渡云计算）,object,79655,0,0.0
检验报告日期,object,8032,1,0.0
_patient_SN,object,9420,0,0.0
_visit_date,datetime64[ns],4555,18528,23.26
25_羟基维生素D3[25_OH_D3]_静脉血_定性,object,2,79585,99.91
25_羟基维生素D3[25_OH_D3]_静脉血_定量,float64,1761,76951,96.61
BMI,float64,255,74927,94.06
CD14+HLA_DR+活化单核细胞百分比_静脉血_定量,float64,11,79644,99.99
CD14+单核细胞百分比_静脉血_定性,object,2,79651,99.99
CD14+单核细胞百分比_静脉血_定量,float64,11,79644,99.99
CD19+B淋巴细胞百分比_静脉血_定性,object,1,79623,99.96
CD19+B淋巴细胞百分比_静脉血_定量,float64,60,78543,98.6
CD19+B淋巴细胞计数_静脉血_定性,object,1,79640,99.98
CD19+B淋巴细胞计数_静脉血_定量,float64,430,78524,98.58
CD3+CD4+辅助_诱导T淋巴细胞百分比_Th_Ti%__静脉血_定量,float64,50,79598,99.93
CD3+CD8+CD28+细胞毒T淋巴细胞百分比_静脉血_定量,float64,11,79644,99.99
CD3+CD8+抑制_细胞毒T淋巴细胞百分比_Ts_Tc%__静脉血_定量,float64,11,79644,99.99
CD3+T淋巴细胞百分比_静脉血_定量,float64,9,79642,99.98
CD3_CD16+CD56+自然杀伤细胞百分比_NK%__静脉血_定性,object,1,79643,99.98
CD3_CD16+CD56+自然杀伤细胞百分比_NK%__静脉血_定量,float64,48,78522,98.58
CD3_CD16+CD56+自然杀伤细胞计数_NK#__静脉血_定性,object,1,79653,100.0
CD3_CD16+CD56+自然杀伤细胞计数_NK#__静脉血_定量,float64,277,78508,98.56
C_反应蛋白_CRP__静脉血_定性,object,9,77397,97.17
C_反应蛋白_CRP__静脉血_定量,float64,2219,44273,55.58
EB病毒DNA_EBV_DNA__静脉血_定性,object,3,79095,99.3
EB病毒DNA_EBV_DNA__静脉血_定量,float64,177,79467,99.76
EB病毒抗体IgM_EBV_IgM__静脉血_定性,object,1,79581,99.91
EB病毒早期抗体IgG_EBV_EA_IgG__静脉血_定性,object,2,79335,99.6
EB病毒核心抗体IgG_EBV_NA_IgG__静脉血_定性,object,2,79320,99.58
EB病毒衣壳抗体IgM_EBV_VCA_IgM__静脉血_定性,object,2,79067,99.26
HCQ,int64,2,0,0.0
RhD血型_静脉血_定性,object,2,78831,98.97
acr_ANA阳性,float64,2,53768,67.5
acr_低补体,float64,2,20482,25.71
acr_光过敏,float64,2,64679,81.2
acr_关节炎,float64,2,64679,81.2
acr_发热,float64,2,64679,81.2
acr_口腔溃疡,float64,2,64679,81.2
acr_急性皮肤狼疮,float64,2,64679,81.2
acr_慢性皮肤狼疮,float64,2,64679,81.2
acr_抗Sm阳性,float64,2,62753,78.78
acr_抗dsDNA阳性,float64,2,47759,59.96
acr_抗磷脂抗体阳性,float64,2,72736,91.31
acr_浆膜炎_心包,float64,2,61894,77.7
acr_浆膜炎_胸膜,float64,2,62701,78.72
acr_淋巴细胞减少,float64,2,7337,9.21
acr_溶血性贫血,float64,2,77395,97.16
acr_白细胞减少,float64,2,7299,9.16
acr_盘状红斑,float64,2,64679,81.2
acr_直接Coombs阳性,float64,2,79612,99.95
acr_神经_癫痫,float64,2,64679,81.2
acr_神经_精神,float64,2,64679,81.2
acr_神经_脊髓炎,float64,2,64679,81.2
acr_神经_脑血管,float64,2,64286,80.71
acr_肌炎,float64,2,58630,73.6
acr_肾脏管型,float64,0,79655,100.0
acr_肾脏蛋白尿,float64,2,15491,19.45
acr_肾脏血尿,float64,2,69716,87.52
acr_蝶形红斑,float64,2,64679,81.2
acr_血小板减少,float64,2,7305,9.17
acr_非瘢痕性脱发,float64,2,64679,81.2
sledai_低补体,float64,2,20482,25.71
sledai_关节炎,float64,2,64679,81.2
sledai_发热,float64,2,64679,81.2
sledai_器质性脑病,float64,2,64280,80.7
sledai_心包炎,float64,2,61894,77.7
sledai_总分,float64,47,1755,2.2
sledai_抗dsDNA,float64,2,47759,59.96
sledai_新发皮疹,float64,2,64679,81.2
sledai_狼疮头痛,float64,2,64679,81.2
sledai_癫痫,float64,2,64679,81.2
sledai_白细胞减少,float64,2,7299,9.16
sledai_管型尿,float64,0,79655,100.0
sledai_精神症状,float64,2,64679,81.2
sledai_肌炎,float64,2,58630,73.6
sledai_胸膜炎,float64,2,62701,78.72
sledai_脑血管意外,float64,2,64286,80.71
sledai_脓尿,float64,2,72429,90.93
sledai_脱发,float64,2,64679,81.2
sledai_蛋白尿,float64,2,15491,19.45
sledai_血小板减少,float64,2,7305,9.17
sledai_血尿,float64,2,69716,87.52
sledai_血管炎,float64,2,64679,81.2
sledai_视觉障碍,float64,2,64679,81.2
sledai_颅神经病变,float64,2,64674,81.19
sledai_黏膜溃疡,float64,2,64679,81.2
α1微球蛋白_α1_MG__尿液_定性,object,16,78090,98.04
α1微球蛋白_α1_MG__尿液_定量,float64,1539,74852,93.97
α1球蛋白百分比_α1_GLO%__静脉血_定量,float64,127,71991,90.38
α2球蛋白百分比_α2_GLO%__静脉血_定量,float64,259,71991,90.38
β2微球蛋白_β2_MG__尿液_定性,object,11,78497,98.55
β2微球蛋白_β2_MG__尿液_定量,float64,1149,76916,96.56
β球蛋白百分比_β_GLO%__静脉血_定量,float64,187,71991,90.38
γ_谷氨酰基转移酶_GGT__静脉血_定性,object,12,79178,99.4
γ_谷氨酰基转移酶_GGT__静脉血_定量,float64,680,16667,20.92
γ球蛋白百分比_γ_GLO%__静脉血_定量,float64,463,71991,90.38
中性粒细胞胞浆抗体核周型_pANCA__静脉血_定性,object,1,79235,99.47
中性粒细胞胞浆抗体胞浆型_cANCA__静脉血_定性,object,1,79265,99.51
乳酸_Lact__动脉血_定量,float64,52,79144,99.36
二氧化碳分压_PaCO2__动脉血_定量,float64,294,77828,97.71
人类白细胞抗原B27_HLA_B27__静脉血_定性,object,6,79367,99.64
估算肾小球滤过率_CKD_EPI公式__静脉血_定量,float64,1373,60516,75.97
体重,float64,185,71710,90.03
促甲状腺素受体抗体_TRAb__静脉血_定量,float64,151,79419,99.7
免疫抑制剂,object,100,55512,69.69
免疫球蛋白κ轻链_Kappa__尿液_定性,object,2,79631,99.97
免疫球蛋白κ轻链_Kappa__尿液_定量,float64,233,79394,99.67
免疫球蛋白κ轻链_Kappa__静脉血_定量,float64,280,79332,99.59
免疫球蛋白λ轻链_Lambda__静脉血_定量,float64,283,79333,99.6
凝血酶原国际标准化比值_PT_INR__静脉血_定量,float64,334,66612,83.63
凝血酶原时间_PT__静脉血_定性,object,2,79652,100.0
凝血酶原时间_PT__静脉血_定量,float64,335,66612,83.63
凝血酶原时间活动度_PTA__静脉血_定量,float64,185,68721,86.27
凝血酶时间_TT__静脉血_定性,object,6,79644,99.99
凝血酶时间_TT__静脉血_定量,float64,187,70883,88.99
单个核细胞百分比_MN%__脑脊液_定量,float64,72,79465,99.76
单核细胞计数_Mono#__静脉血_定量,float64,296,7355,9.23
叶酸_FA__静脉血_定性,object,3,79358,99.63
叶酸_FA__静脉血_定量,float64,1470,77010,96.68
吸烟史,float64,2,28117,35.3
嗜碱性粒细胞计数_Baso#__静脉血_定量,float64,36,19396,24.35
嗜酸性粒细胞计数_Eos#__静脉血_定量,float64,207,14064,17.66
多个核细胞百分比_PMN%__脑脊液_定量,float64,72,79479,99.78
天门冬氨酸氨基转移酶_AST__静脉血_定量,float64,432,21165,26.57
寡克隆区带_OCB__脑脊液_定性,object,2,79645,99.99
尿胆原_URO__尿液_定性,object,16,15506,19.47
尿酸_UA__静脉血_定量,float64,690,69204,86.88
巨细胞病毒抗体IgG_CMV_IgG__静脉血_定性,object,6,79225,99.46
总细胞计数_脑脊液_定量,float64,70,79410,99.69
总胆固醇_TC__静脉血_定量,float64,960,67057,84.18
总胆红素_TBIL__静脉血_定性,object,2,79644,99.99
总胆红素_TBIL__静脉血_定量,float64,676,20187,25.34
总蛋白_TP__尿液_定性,object,20,17728,22.26
总蛋白_TP__静脉血_定性,object,17,79638,99.98
总蛋白_TP__静脉血_定量,float64,685,20185,25.34
总钙_Ca__静脉血_定量,float64,161,55762,70.0
抗SSA_Ro_抗体IgG_静脉血_定性,object,1,79273,99.52
抗SSA_Ro_抗体_静脉血_定性,object,22,67021,84.14
抗SSB_La_抗体_静脉血_定性,object,19,67910,85.26
抗Scl_70抗体_静脉血_定性,object,11,68785,86.35
抗Sm抗体_静脉血_定性,object,20,67751,85.06
抗U1_RNP_Sm抗体_静脉血_定性,object,11,77681,97.52
抗U1核糖核蛋白抗体_U1_RNP__静脉血_定性,object,43,68633,86.16
抗β2糖蛋白1抗体IgG_β2_GP1_IgG__静脉血_定性,object,2,79251,99.49
抗β2糖蛋白1抗体IgG_β2_GP1_IgG__静脉血_定量,float64,948,77496,97.29
抗β2糖蛋白1抗体IgM_β2_GP1_IgM__静脉血_定性,object,2,78685,98.78
抗β2糖蛋白1抗体IgM_β2_GP1_IgM__静脉血_定量,float64,250,78810,98.94
抗人球蛋白试验_Coombs__静脉血_定性,object,17,79638,99.98
抗双链DNA抗体_dsDNA__静脉血_定性,object,21,62158,78.03
抗双链DNA抗体_dsDNA__静脉血_定量,float64,3637,72929,91.56
抗增殖细胞核抗原抗体_PCNA__静脉血_定性,object,9,72718,91.29
抗天疱疮抗体_静脉血_定性,object,1,79653,100.0
抗心磷脂抗体IgA_ACL_IgA__静脉血_定性,object,8,77392,97.16
抗心磷脂抗体IgA_ACL_IgA__静脉血_定量,float64,352,78021,97.95
抗心磷脂抗体IgG_ACL_IgG__静脉血_定性,object,8,77210,96.93
抗心磷脂抗体IgG_ACL_IgG__静脉血_定量,float64,601,77663,97.5
抗心磷脂抗体IgM_ACL_IgM__静脉血_定性,object,9,77227,96.95
抗心磷脂抗体IgM_ACL_IgM__静脉血_定量,float64,275,78030,97.96
抗核小体抗体_AnuA__静脉血_定性,object,11,70784,88.86
抗核抗体_ANA__静脉血_定性,object,497,55117,69.19
抗核糖体P蛋白抗体_rRNP__静脉血_定性,object,11,68335,85.79
抗核糖体蛋白gp210抗体_静脉血_定性,object,5,79354,99.62
抗甲状腺球蛋白抗体_TGAb__静脉血_定性,object,4,79397,99.68
抗甲状腺球蛋白抗体_TGAb__静脉血_定量,float64,2501,74618,93.68
抗线粒体抗体M2型_AMA_M2__静脉血_定性,object,15,68503,86.0
抗组蛋白抗体_AHA__静脉血_定性,object,11,68171,85.58
抗肾小球基底膜抗体_GBM__静脉血_定性,object,2,79312,99.57
抗链球菌溶血素O_ASO__静脉血_定性,object,6,77425,97.2
抗链球菌溶血素O_ASO__静脉血_定量,float64,2087,67465,84.7
梅毒螺旋体特异性抗体_TP_Ab__静脉血_定性,object,1,79635,99.97
梅毒螺旋体特异性抗体颗粒凝集试验_TPPA__静脉血_定性,object,3,79202,99.43
梅毒非特异性抗体快速血浆反应素试验_RPR__静脉血_定性,object,22,79369,99.64
死亡,int64,2,0,0.0
比重_SG__尿液_定性,object,8,79590,99.92
氧分压_PaO2__动脉血_定量,float64,558,77828,97.71
氯离子_Cl___静脉血_定性,object,2,79638,99.98
氯离子_Cl___静脉血_定量,float64,341,51841,65.08
活化部分凝血活酶时间_APTT__静脉血_定性,object,2,79638,99.98
活化部分凝血活酶时间_APTT__静脉血_定量,float64,690,66612,83.63
淋巴细胞计数_Lymph#__静脉血_定量,float64,670,7337,9.21
游离三碘甲状腺原氨酸_FT3__静脉血_定性,object,4,79455,99.75
游离三碘甲状腺原氨酸_FT3__静脉血_定量,float64,581,72748,91.33
游离甲状腺素_FT4__静脉血_定性,object,4,79609,99.94
游离甲状腺素_FT4__静脉血_定量,float64,1256,72604,91.15
激素,int64,2,0,0.0
狼疮抗凝物标准化比值_LAC_NLR__静脉血_定性,object,2,79653,100.0
狼疮抗凝物标准化比值_LAC_NLR__静脉血_定量,float64,293,76911,96.56
甘油三酯_TG__静脉血_定量,float64,679,67052,84.18
生物制剂,object,8,78765,98.88
生理管型_镜检__尿液_定量,float64,532,33256,41.75
白细胞_镜检__尿液_定性,object,63,72427,90.93
白细胞介素_10_IL_10__静脉血_定性,object,6,79241,99.48
白细胞介素_10_IL_10__静脉血_定量,float64,855,78187,98.16
白细胞介素_17A_IL_17A__静脉血_定性,object,12,78491,98.54
白细胞介素_17A_IL_17A__静脉血_定量,float64,424,79125,99.33
白细胞介素_17_IL_17__静脉血_定量,float64,11,79643,99.98
白细胞介素_2_IL_2__静脉血_定性,object,19,78417,98.45
白细胞介素_2_IL_2__静脉血_定量,float64,466,79015,99.2
白细胞介素_4_IL_4__静脉血_定性,object,20,78467,98.51
白细胞介素_4_IL_4__静脉血_定量,float64,397,79080,99.28
白细胞介素_6_IL_6__静脉血_定性,object,20,79046,99.24
白细胞介素_6_IL_6__静脉血_定量,float64,1582,76648,96.22
白细胞介素_IL__静脉血_定性,object,16,79538,99.85
白细胞介素_IL__静脉血_定量,float64,48,79600,99.93
白细胞计数_WBC#__静脉血_定量,float64,2129,7299,9.16
白蛋白_ALB__静脉血_定量,float64,567,18918,23.75
直接抗人球蛋白试验_直接Coombs__静脉血_定性,object,2,79616,99.95
直接胆红素_DBIL__静脉血_定性,object,3,79613,99.95
直接胆红素_DBIL__静脉血_定量,float64,339,76203,95.67
磷_P__静脉血_定性,object,1,79652,100.0
磷_P__静脉血_定量,float64,312,55808,70.06
类风湿因子_RF__静脉血_定性,object,4,73998,92.9
类风湿因子_RF__静脉血_定量,float64,1437,64492,80.96
粒细胞计数_静脉血_定量,float64,1918,7340,9.21
红细胞_镜检__尿液_定性,object,73,69716,87.52
红细胞_镜检__粪便_定性,object,21,74736,93.82
红细胞计数_RBC#__静脉血_定量,float64,575,7317,9.19
维生素B12_VitB12__静脉血_定性,object,4,79591,99.92
维生素B12_VitB12__静脉血_定量,float64,1766,76798,96.41
网织红细胞计数_RET#__静脉血_定量,float64,1280,77361,97.12
肌酐_Crea__静脉血_定量,float64,764,20914,26.26
肌酸激酶_CK__静脉血_定性,object,4,79550,99.87
肌酸激酶_CK__静脉血_定量,float64,562,66487,83.47
肿瘤坏死因子_TNF__静脉血_定量,float64,40,79608,99.94
肿瘤坏死因子α_TNF_α__静脉血_定性,object,17,78412,98.44
肿瘤坏死因子α_TNF_α__静脉血_定量,float64,468,79070,99.27
胆红素_BIL__尿液_定性,object,10,19230,24.14
胱抑素_Cys_C__静脉血_定量,float64,740,42639,53.53
葡萄糖_Glu__尿液_定性,object,16,19128,24.01
血小板计数_PLT#__静脉血_定量,float64,619,7305,9.17
血红蛋白_Hb__静脉血_定量,float64,175,7304,9.17
补体C1q抗体_C1q_Ab__静脉血_定性,object,2,79634,99.97
补体C1q抗体_C1q_Ab__静脉血_定量,float64,160,79408,99.69
补体C3_静脉血_定性,object,1,79641,99.98
补体C3_静脉血_定量,float64,199,20492,25.73
补体C4_静脉血_定性,object,7,79190,99.42
补体C4_静脉血_定量,float64,78,20916,26.26
西罗莫司血药浓度_静脉血_定量,float64,95,79559,99.88
身高,float64,71,74871,93.99
转铁蛋白_TRF__静脉血_定量,float64,228,78949,99.11
酸碱度_pH__动脉血_定量,float64,260,77828,97.71
钠离子_Na+__静脉血_定量,float64,313,51841,65.08
钾离子_K+__静脉血_定量,float64,437,51744,64.96
铁_Fe__静脉血_定量,float64,290,77549,97.36
铁蛋白_Ferr__静脉血_定性,object,3,79456,99.75
铁蛋白_Ferr__静脉血_定量,float64,3276,74876,94.0
间接胆红素_IBIL__静脉血_定量,float64,56,79583,99.91
降钙素原_PCT__静脉血_定性,object,4,79361,99.63
降钙素原_PCT__静脉血_定量,float64,754,76144,95.59
风疹病毒抗体IgG_RV_IgG__静脉血_定性,object,3,79589,99.92
风疹病毒抗体IgM_RV_IgM__静脉血_定性,object,6,79043,99.23
饮酒史,float64,2,28117,35.3
高密度脂蛋白胆固醇_HDL_C__静脉血_定量,float64,364,67087,84.22
