feature,uni_pvalue,lasso_coef,boruta_importance,selected
BMI,1.4921028978215386e-05,0.0006488995730760304,0.0683911058707697,1
C_反应蛋白_CRP__静脉血_定量,0.775805131557421,0.1446279646789125,0.013612059806908319,0
HCQ,0.09143732801306267,0.08037020228681326,0.0016914659316143194,1
α1微球蛋白_α1_MG__尿液_定量,0.4708476363534798,0.12923949360284018,0.007581827127149182,0
α1球蛋白百分比_α1_GLO%__静脉血_定量,0.0624860551939301,0.1501033325837574,0.006950253950067777,1
α2球蛋白百分比_α2_GLO%__静脉血_定量,4.4845555810706535e-06,0.24494235286160548,0.016383994869173347,1
β2微球蛋白_β2_MG__尿液_定量,0.12702599334765335,0.3400761864037344,0.0050254048655717885,0
β球蛋白百分比_β_GLO%__静脉血_定量,0.002140065493952818,0.2648888607546346,0.004269017713659212,1
γ_谷氨酰基转移酶_GGT__静脉血_定量,0.8924372248697439,0.11152931291651778,0.009399561222283775,0
γ球蛋白百分比_γ_GLO%__静脉血_定量,0.001501561295025143,0.2421106212243929,0.008142531316432278,1
估算肾小球滤过率_CKD_EPI公式__静脉血_定量,0.09184086582883905,0.22726359352358833,0.060579414406389975,1
体重,2.1727654611787157e-05,0.18930583135161988,0.021350386075729238,1
凝血酶原国际标准化比值_PT_INR__静脉血_定量,0.486810324946217,0.7534092961296796,0.03209596693216583,1
凝血酶原时间_PT__静脉血_定量,0.8644059456534118,0.6452586635624509,0.030677580444027217,1
凝血酶原时间活动度_PTA__静脉血_定量,0.24963731014076906,0.021203913299616194,0.03513240206132651,1
凝血酶时间_TT__静脉血_定量,0.26324247830179703,0.03466123941768232,0.046812056458062044,1
单核细胞计数_Mono#__静脉血_定量,0.14539305605183223,0.04698676502036465,0.006224809613030398,0
吸烟史,0.0005134938840133665,0.10410570739324801,0.0017581816737083419,1
嗜碱性粒细胞计数_Baso#__静脉血_定量,2.060588749549395e-06,0.07479620297300539,0.006388794808642708,1
嗜酸性粒细胞计数_Eos#__静脉血_定量,0.05364214166119691,0.03676638685141963,0.005605230864155729,1
天门冬氨酸氨基转移酶_AST__静脉血_定量,0.0002594000544878325,0.850315481423398,0.009721705776674087,1
尿酸_UA__静脉血_定量,0.6700822368008353,0.007707252959394565,0.011486255129096061,0
总胆固醇_TC__静脉血_定量,0.3474030885136775,0.12723694988649328,0.012121656299724004,0
总胆红素_TBIL__静脉血_定量,0.0001702479658605998,0.05753349740879275,0.014180655297523322,1
总蛋白_TP__静脉血_定量,0.1307367026794263,0.044761332546880236,0.0071316059742273325,0
总钙_Ca__静脉血_定量,6.56482047770271e-07,0.2320157525962893,0.014303471376194778,1
抗甲状腺球蛋白抗体_TGAb__静脉血_定量,0.2938165396280418,0.13829748327663507,0.015150288497030703,0
抗链球菌溶血素O_ASO__静脉血_定量,5.606147862710228e-07,0.17624524019734344,0.02943638537489162,1
死亡,0.577680768009323,0.0268117315550359,0.00036612171707591103,0
氯离子_Cl___静脉血_定量,0.22860569220288907,0.14857010081641694,0.00908944690605849,0
活化部分凝血活酶时间_APTT__静脉血_定量,8.35914016767844e-12,0.5293971151885585,0.09572030197848706,1
淋巴细胞计数_Lymph#__静脉血_定量,0.4016828304148249,0.12510770477534872,0.009531996778073672,0
游离三碘甲状腺原氨酸_FT3__静脉血_定量,0.21816229771685247,0.11254074407275995,0.012284609346909031,0
游离甲状腺素_FT4__静脉血_定量,0.0005872847472361131,0.19323919337781092,0.01632491219923584,1
激素,0.057439558247242055,0.046296191434879286,0.0007900227371816848,1
甘油三酯_TG__静脉血_定量,0.935747283265064,0.05201888657745032,0.010182802190422077,0
生理管型_镜检__尿液_定量,0.002029461643763567,0.07290959232983561,0.009341568832902726,1
白细胞计数_WBC#__静脉血_定量,0.5213346094532518,0.024996969460746393,0.010222377130392849,0
白蛋白_ALB__静脉血_定量,0.47771128728549006,0.1484474038979762,0.01058875042876344,0
磷_P__静脉血_定量,0.8293411782132758,0.10406219841344262,0.00664900314387538,0
类风湿因子_RF__静脉血_定量,4.328457775887928e-33,2.3576049850103225,0.06495964100128153,1
粒细胞计数_静脉血_定量,0.3208294161312093,0.07298501571410569,0.00859048634593947,0
红细胞计数_RBC#__静脉血_定量,0.26934039653559405,0.3192064063388537,0.010772567749741821,0
维生素B12_VitB12__静脉血_定量,0.0029738295981817124,0.16537680172770866,0.02071692038581244,1
肌酐_Crea__静脉血_定量,0.03372424677748119,0.19739486016094815,0.00979786412986485,1
肌酸激酶_CK__静脉血_定量,0.15838638146306105,0.8349802891887919,0.011530919594653972,0
胱抑素_Cys_C__静脉血_定量,0.8360566008272377,0.18073749759398142,0.009262652332598473,0
血小板计数_PLT#__静脉血_定量,0.0012000530671371834,0.21597379340398323,0.013319057566645294,1
血红蛋白_Hb__静脉血_定量,0.5309586510350928,0.2428675477419059,0.010808828039701901,0
补体C3_静脉血_定量,0.001788266818566293,0.4189946579442133,0.01073855677151683,1
补体C4_静脉血_定量,0.9340721986759463,0.15630212711225105,0.008992541546930417,0
身高,0.14224763643648722,0.00397759040170136,0.0427702930656668,1
钠离子_Na+__静脉血_定量,0.4631262117863788,0.19885700269241013,0.009409899221894799,0
钾离子_K+__静脉血_定量,0.12898532138100974,0.14896444854195917,0.009033617491450983,0
铁蛋白_Ferr__静脉血_定量,0.013631367920313373,0.10535004142424384,0.02864676340900496,1
降钙素原_PCT__静脉血_定量,0.04763415674959192,0.0755813637349832,0.023750064856632877,1
饮酒史,0.0020127686971544967,0.07485442246248476,0.0009478035800857258,1
高密度脂蛋白胆固醇_HDL_C__静脉血_定量,0.35963077486461004,0.16454257385974064,0.013255539784969239,0
