Feature,N_total,N_APS+,N_APS-,Median_APS+,Median_APS-,Mean_APS+,Mean_APS-,Cohen_d,Pct_diff,p_value,log10_p,p_adj,significant
C_反应蛋白_CRP__静脉血_定量,7449,651,6798,3.5700,3.3000,8.8593,9.6541,-0.0349,8.18,0.0007313135108962835,3.1358964029828376,0.0018485980414322722,True
HCQ,9420,658,8762,0.0000,0.0000,0.2895,0.2404,0.1202,0.00,0.0016254741520282665,2.7890199321787716,0.0035218606627279107,True
acr_ANA阳性,7863,616,7247,0.5000,1.0000,0.5211,0.7954,-0.6997,-50.00,2.5826818224307973e-62,61.58792909412635,2.3502404584120256e-60,True
acr_低补体,8853,651,8202,1.0000,1.0000,0.6743,0.7245,-0.1155,0.00,0.0051711982838268935,2.286408809371445,0.010457312085072163,True
acr_光过敏,5025,637,4388,0.0000,0.0000,0.0220,0.0621,-0.1798,0.00,0.0003424442725938194,3.4654100930011724,0.0009165420237069871,True
acr_关节炎,5025,637,4388,0.0000,0.0000,0.0965,0.1661,-0.1993,0.00,1.0117771917184135e-05,4.994915115026762,4.6035862223187815e-05,True
acr_发热,5025,637,4388,0.0000,0.0000,0.1994,0.2935,-0.2178,0.00,1.0311843756993768e-06,5.986663675948438,7.025846508992772e-06,True
acr_口腔溃疡,5025,637,4388,0.0000,0.0000,0.0644,0.1219,-0.1869,0.00,3.059007423145572e-05,4.514419469132599,0.00012103029369836829,True
acr_急性皮肤狼疮,5025,637,4388,0.0000,0.0000,0.0016,0.0001,0.0924,0.00,0.11259928639124664,0.9484643618587923,0.18269436678916232,False
acr_慢性皮肤狼疮,5025,637,4388,0.0000,0.0000,0.0016,0.0005,0.0500,0.00,0.45850747365125055,0.33865358095569464,0.5551225837248491,False
acr_抗Sm阳性,6725,618,6107,0.0000,0.0000,0.2079,0.2026,0.0137,0.00,0.8974760568536773,0.04697712883881505,0.9074480130409404,False
acr_抗dsDNA阳性,8105,653,7452,0.0000,0.0000,0.1210,0.2321,-0.2802,0.00,3.919804219833731e-12,11.406735623890057,7.74797360600714e-11,True
acr_浆膜炎_心包,5560,641,4919,0.0000,0.0000,0.0835,0.0886,-0.0192,0.00,0.7022968101665048,0.15347930414562583,0.7431280200599063,False
acr_浆膜炎_胸膜,5471,641,4830,0.0000,0.0000,0.0616,0.1122,-0.1736,0.00,0.00035328306874553056,3.45187717583033,0.0009185359787383795,True
acr_淋巴细胞减少,9178,656,8522,0.0000,0.0000,0.1852,0.1972,-0.0314,0.00,0.32699971135295514,0.4854526306971272,0.4441339363152077,False
acr_白细胞减少,9183,656,8527,0.0000,0.0000,0.0983,0.1230,-0.0795,0.00,0.037523867252137875,1.425692409106574,0.06968718203968463,False
acr_盘状红斑,5025,637,4388,0.0000,0.0000,0.0016,0.0005,0.0500,0.00,0.45850747365125055,0.33865358095569464,0.5551225837248491,False
acr_神经_癫痫,5025,637,4388,0.0000,0.0000,0.0259,0.0164,0.0749,0.00,0.114434933043761,0.9414413801559395,0.18269436678916232,False
acr_神经_精神,5025,637,4388,0.0000,0.0000,0.0016,0.0023,-0.0159,0.00,0.5892249158176843,0.22971889697308231,0.6702433417426159,False
acr_神经_脊髓炎,5025,637,4388,0.0000,0.0000,0.0031,0.0010,0.0600,0.00,0.20588800642423344,0.686368951563042,0.3021904610420201,False
acr_神经_脑血管,5123,638,4485,0.0000,0.0000,0.0611,0.0375,0.1287,0.00,0.00013455524668330634,3.8710993632203077,0.00040815091493936253,True
acr_肌炎,5892,646,5246,0.0000,0.0000,0.0077,0.0287,-0.1382,0.00,0.001266723558395603,2.8973181524114646,0.002955688302923074,True
acr_肾脏蛋白尿,8698,654,8044,0.0000,0.0000,0.1812,0.1880,-0.0180,0.00,0.6425900850412493,0.19206597975725792,0.7029751946411539,False
acr_肾脏血尿,4332,498,3834,0.0000,0.0000,0.1687,0.1586,0.0289,0.00,0.43764985567346104,0.35887321041648346,0.5551225837248491,False
acr_蝶形红斑,5025,637,4388,0.0000,0.0000,0.0306,0.0733,-0.1761,0.00,0.00011492933893031771,3.9395690913372916,0.0003735203515235326,True
acr_血小板减少,9182,656,8526,0.0000,0.0000,0.1189,0.0716,0.1861,0.00,6.134025720515142e-06,5.2122544073143455,3.1010907809270996e-05,True
acr_非瘢痕性脱发,5025,637,4388,0.0000,0.0000,0.1060,0.1767,-0.1962,0.00,3.540365589649086e-05,4.450951888999857,0.00012886930746322674,True
sledai_低补体,8853,651,8202,1.0000,1.0000,0.6743,0.7245,-0.1155,0.00,0.0051711982838268935,2.286408809371445,0.010457312085072163,True
sledai_关节炎,5025,637,4388,0.0000,0.0000,0.0965,0.1661,-0.1993,0.00,1.0117771917184135e-05,4.994915115026762,4.6035862223187815e-05,True
sledai_发热,5025,637,4388,0.0000,0.0000,0.1994,0.2935,-0.2178,0.00,1.0311843756993768e-06,5.986663675948438,7.025846508992772e-06,True
sledai_器质性脑病,5125,638,4487,0.0000,0.0000,0.0165,0.0172,-0.0057,0.00,0.7638790685183254,0.11697539015759856,0.7989999452318116,False
sledai_心包炎,5560,641,4919,0.0000,0.0000,0.0835,0.0886,-0.0192,0.00,0.7022968101665048,0.15347930414562583,0.7431280200599063,False
sledai_总分,9380,658,8722,2.0000,2.0000,3.3078,2.9212,0.1166,0.00,2.314151329267784e-05,4.635608244642246,0.0001002798909349373,True
sledai_抗dsDNA,8105,653,7452,0.0000,0.0000,0.1210,0.2321,-0.2802,0.00,3.919804219833731e-12,11.406735623890057,7.74797360600714e-11,True
sledai_新发皮疹,5025,637,4388,0.0000,0.0000,0.3414,0.4214,-0.1702,0.00,0.00016997577895479403,3.7696129598906154,0.000498961157576976,True
sledai_狼疮头痛,5025,637,4388,0.0000,0.0000,0.0455,0.0532,-0.0363,0.00,0.6489001796687575,0.18782210559291948,0.7029751946411539,False
sledai_癫痫,5025,637,4388,0.0000,0.0000,0.0259,0.0164,0.0749,0.00,0.114434933043761,0.9414413801559395,0.18269436678916232,False
sledai_白细胞减少,9183,656,8527,0.0000,0.0000,0.0130,0.0292,-0.1056,0.00,0.024830504218879064,1.6050144613856898,0.04707449758162489,True
sledai_精神症状,5025,637,4388,0.0000,0.0000,0.0016,0.0023,-0.0159,0.00,0.5892249158176843,0.22971889697308231,0.6702433417426159,False
sledai_肌炎,5892,646,5246,0.0000,0.0000,0.0077,0.0287,-0.1382,0.00,0.001266723558395603,2.8973181524114646,0.002955688302923074,True
sledai_胸膜炎,5471,641,4830,0.0000,0.0000,0.0702,0.1157,-0.1535,0.00,0.0012398956736816421,2.9066148553623425,0.002955688302923074,True
sledai_脑血管意外,5123,638,4485,0.0000,0.0000,0.0611,0.0375,0.1287,0.00,0.00013455524668330634,3.8710993632203077,0.00040815091493936253,True
sledai_脱发,5025,637,4388,0.0000,0.0000,0.1060,0.1767,-0.1962,0.00,3.540365589649086e-05,4.450951888999857,0.00012886930746322674,True
sledai_蛋白尿,8698,654,8044,0.0000,0.0000,0.1812,0.1880,-0.0180,0.00,0.6425900850412493,0.19206597975725792,0.7029751946411539,False
sledai_血小板减少,9182,656,8526,0.0000,0.0000,0.1189,0.0716,0.1861,0.00,6.134025720515142e-06,5.2122544073143455,3.1010907809270996e-05,True
sledai_血尿,4332,498,3834,0.0000,0.0000,0.1687,0.1586,0.0289,0.00,0.43764985567346104,0.35887321041648346,0.5551225837248491,False
sledai_血管炎,5025,637,4388,0.0000,0.0000,0.0047,0.0033,0.0260,0.00,0.19208887512662054,0.7164977866793046,0.28655881371348313,False
sledai_视觉障碍,5025,637,4388,0.0000,0.0000,0.0502,0.0209,0.1988,0.00,1.520181502684073e-07,6.8181045561945375,1.2576046976750059e-06,True
sledai_颅神经病变,5026,637,4389,0.0000,0.0000,0.0000,0.0007,-0.0307,0.00,0.4461426077415628,0.3505262985619812,0.5551225837248491,False
sledai_黏膜溃疡,5025,637,4388,0.0000,0.0000,0.0644,0.1219,-0.1869,0.00,3.059007423145572e-05,4.514419469132599,0.00012103029369836829,True
γ_谷氨酰基转移酶_GGT__静脉血_定量,8736,656,8080,25.0000,22.0000,35.6555,42.0851,-0.0817,13.64,0.04899360164039815,1.309860633312475,0.08741995586816141,False
估算肾小球滤过率_CKD_EPI公式__静脉血_定量,3659,629,3030,109.7500,110.7500,103.6511,106.3376,-0.1087,-0.90,0.2586461752546281,0.5872939393623458,0.3677625304401743,False
凝血酶原国际标准化比值_PT_INR__静脉血_定量,5128,631,4497,1.0000,1.0000,1.1187,1.0434,0.2609,0.00,0.47033388720841207,0.3275937295306965,0.5558491394281234,False
凝血酶原时间_PT__静脉血_定量,5128,631,4497,12.9000,12.9000,13.7392,13.1639,0.2183,0.00,0.9120324152531714,0.03998972579942982,0.9120324152531714,False
凝血酶原时间活动度_PTA__静脉血_定量,4636,500,4136,100.0000,100.0000,96.5339,99.0679,-0.1650,0.00,0.6213665382041667,0.20665213805332236,0.6980784565009774,False
凝血酶时间_TT__静脉血_定量,3398,623,2775,17.1000,17.0000,17.2587,17.4040,-0.0445,0.59,0.22271072684539406,0.6522588647011649,0.32169327211001364,False
单核细胞计数_Mono#__静脉血_定量,9177,656,8521,0.5000,0.4750,0.5346,0.5076,0.1005,5.26,0.00032883466718497514,3.4830224034997257,0.00090678650647978,True
吸烟史,4503,586,3917,0.0000,0.0000,0.1126,0.0776,0.1276,0.00,0.0039949449699175745,2.398489198684343,0.008454418424709287,True
