Variable,APS+,APS-,p_value,SMD
APTT,36.50 (31.50-44.58),35.00 (31.50-39.40),8.18e-08,0.354
BMI,23.72 ± 6.46,23.03 ± 9.02,1.70e-05,0.081
C3,0.88 ± 0.25,0.81 ± 0.25,3.14e-09,0.264
C4,0.16 ± 0.09,0.16 ± 0.07,5.10e-01,0.067
CRP,3.57 (2.50-6.18),3.30 (2.05-7.00),7.31e-04,-0.035
Crea,58.00 (51.00-67.00),55.50 (49.00-65.00),1.16e-06,0.047
Hb,123.00 (110.88-133.00),125.00 (113.00-134.00),6.94e-03,-0.119
INR,1.00 (0.95-1.10),1.00 (0.97-1.05),4.70e-01,0.261
PLT,196.20 ± 76.99,205.74 ± 72.29,1.56e-03,-0.131
PT,1.00 (0.95-1.10),1.00 (0.97-1.05),4.70e-01,0.261
PTA,96.53 ± 20.11,99.07 ± 14.68,6.21e-01,-0.165
RBC,4.22 (3.82-4.57),4.26 (3.92-4.56),1.69e-01,-0.085
TT,17.10 (16.40-17.80),17.00 (16.30-17.90),2.23e-01,-0.044
UA,303.00 (244.88-379.00),300.00 (239.00-383.00),4.64e-01,0.021
WBC,6.25 (5.09-7.99),6.06 (4.82-7.82),1.14e-02,0.055
体重,62.99 ± 12.96,60.34 ± 11.39,4.35e-06,0.228
身高,163.00 (158.00-168.00),162.00 (159.00-166.00),2.48e-01,0.072
